Website,Category,Rank,Size,Business model,Login,Advertising,Safe,Unsafe,Primary,Secondary,Total,UnsafePrimary,UnsafeSecondary,UnsafeTotal,UnsafePrimaryNetChange,UnsafePrimaryAdd,UnsafePrimaryDrop,UnsafeSecondaryNetChange,UnsafeSecondaryAdd,UnsafeSecondaryDrop,UnsafeTotalNetChange,UnsafeTotalAdd,UnsafeTotalDrop,RespectDummy,Respect,AbuseObfuscate,AbuseDoNotObfuscate,ObfuscateLevel,TotalRespect,TotalDoNotObfuscate,TotalObfuscateLevel,AbuseDummy,ObfuscateDummy,Abuse,Obfuscate,SecondaryAbuseDummy,SecondaryObfuscateDummy,SecondaryAbuse,SecondaryObfuscate,TotalAbuseDummy,TotalObfuscateDummy,TotalAbuse,TotalObfuscate
Dailycaller.com,0,57,4143136,subscription and advertising,1,1,47,54,26,75,101,18,36,54,4,3,0,17,31,13,21,34,13,0,0,0,4,3,0,0,44,1,0,4,3,1,1,31,44,1,1,21,47
France24.com,0,59,1582156,subscription and advertising,1,1,17,35,11,41,52,9,26,35,1,2,1,-18,0,18,-17,2,19,0,0,1,0,3,19,2,0,1,1,1,3,0,0,0,18,0,0,0,21
Intellicast.com,0,61,2113681,information,1,0,15,17,10,22,32,8,9,17,2,2,0,14,16,2,16,18,2,0,0,0,2,2,0,0,18,1,0,2,2,1,1,16,18,1,1,16,20
Bankrate.com,0,63,7456209,information,1,0,11,27,12,26,38,9,18,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Theroot.com,0,66,6344822,advertising,1,1,35,36,28,43,71,17,19,36,-1,0,1,-3,5,8,-4,5,9,1,1,0,0,0,9,5,0,0,0,0,1,0,1,5,13,0,0,0,14
Thestar.com,0,69,1416804,subscription and advertising,1,1,18,35,24,29,53,17,18,35,1,1,0,6,8,2,7,9,2,0,0,0,1,1,0,0,10,1,0,1,1,1,1,8,10,1,1,7,11
Thetimes.co.uk,0,73,928519,subscription and advertising,1,1,42,50,25,68,93,17,33,50,1,1,1,-4,8,11,-3,9,12,0,0,1,0,2,12,9,0,1,1,1,2,0,1,8,19,0,0,0,21
Adweek.com,0,74,3164450,subscription and advertising,1,1,46,61,30,77,107,27,34,61,-1,0,1,-10,2,12,-11,2,13,1,1,0,0,0,13,2,0,0,0,0,1,0,1,2,14,0,0,0,15
Theonion.com,0,75,4227851,advertising,1,1,22,33,25,30,55,15,18,33,1,2,1,-6,2,8,-5,4,9,0,0,1,0,3,9,4,0,1,1,1,3,0,1,2,10,0,0,0,13
Azcentral.com,0,76,4230302,subscription and advertising,1,1,31,42,30,43,73,14,28,42,-1,0,1,3,6,3,2,6,4,1,1,0,0,0,0,0,9,0,0,0,1,1,1,6,9,1,1,2,10
Rd.com,0,77,3598430,subscription and advertising,1,1,35,42,37,40,77,22,20,42,2,2,0,-8,1,9,-6,3,9,0,0,0,2,2,9,3,0,1,0,2,2,0,1,1,10,0,0,0,12
Ajc.com,0,78,4763598,subscription and advertising,1,1,34,52,31,55,86,22,30,52,0,0,0,-8,2,10,-8,2,10,1,0,0,0,0,10,2,0,0,0,0,0,0,1,2,12,0,0,0,12
Voat.co,0,79,929785,advertising and donation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Telegraphindia.com,0,83,88448,advertising,1,1,38,46,15,70,85,11,35,46,-2,0,2,-14,3,17,-16,3,19,1,2,0,0,0,19,3,0,0,0,0,2,0,1,3,20,0,0,0,22
Fark.com,0,84,645959,subscription and advertising,1,1,48,54,17,85,102,12,42,54,-1,0,1,-5,7,10,-6,7,11,1,1,0,0,0,11,7,0,0,0,0,1,0,1,7,17,0,0,0,18
Foxbusiness.com,0,86,3760896,advertising,0,1,11,36,5,42,47,3,33,36,3,3,0,-3,6,9,0,9,9,0,0,0,3,3,0,0,15,1,0,3,3,0,1,6,15,0,1,0,18
Blastingnews.com,0,87,208944,subscription and advertising,1,1,2,8,8,2,10,6,2,8,0,0,0,-1,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Oregonlive.com,0,89,2944557,subscription and advertising,1,1,13,31,12,32,44,9,22,31,0,0,0,-2,2,4,-2,2,4,1,0,0,0,0,4,2,0,0,0,0,0,0,1,2,6,0,0,0,6
Metafilter.com,0,91,3169386,advertising,1,1,6,5,5,6,11,2,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mercurynews.com,0,92,3566411,subscription and advertising,1,1,25,44,20,49,69,13,31,44,2,2,0,-1,5,6,1,7,6,0,0,0,2,2,0,0,11,1,0,2,2,0,1,5,11,1,1,1,13
Dallasnews.com,0,94,3029830,subscription and advertising,1,1,51,63,22,92,114,14,49,63,0,0,0,-17,6,23,-17,6,23,1,0,0,0,0,23,6,0,0,0,0,0,0,1,6,29,0,0,0,29
Nationalpost.com,0,97,1107656,subscription and advertising,1,1,48,50,35,63,98,22,28,50,2,3,1,0,7,7,2,10,8,0,0,2,0,4,0,0,14,1,1,2,4,0,1,7,14,1,1,2,18
Freep.com,0,98,1107656,subscription and advertising,1,1,34,48,28,54,82,14,34,48,-1,0,1,0,8,8,-1,8,9,1,1,0,0,0,9,8,0,0,0,0,1,0,1,8,16,0,0,0,17
Philly.com,0,99,2987814,subscription and advertising,1,1,30,38,17,51,68,9,29,38,-1,0,1,0,4,4,-1,4,5,1,1,0,0,0,5,4,0,0,0,0,1,0,1,4,8,0,0,0,9
Denverpost.com,0,102,2890149,subscription and advertising,1,1,49,58,20,87,107,13,45,58,0,0,0,-19,3,22,-19,3,22,1,0,0,0,0,22,3,0,0,0,0,0,0,1,3,25,0,0,0,25
Ap.org,0,103,1911899,advertising,0,1,2,5,5,2,7,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deseretnews.com,0,104,2295213,subscription and advertising,1,1,28,42,24,46,70,17,25,42,1,1,0,2,10,8,3,11,8,0,0,0,1,1,0,0,18,1,0,1,1,1,1,10,18,1,1,3,19
Newspapers.com,0,105,1330231,subscription,1,0,3,13,10,6,16,7,6,13,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1
Dnaindia.com,0,106,171770,advertising,0,1,23,25,19,29,48,14,11,25,2,2,0,3,8,5,5,10,5,0,0,0,2,2,0,0,13,1,0,2,2,1,1,8,13,1,1,5,15
Theweek.com,0,109,2354835,subscription and advertising,1,1,14,34,16,32,48,11,23,34,1,1,0,-1,5,6,0,6,6,0,0,0,1,1,0,0,11,1,0,1,1,0,1,5,11,0,1,0,12
Afr.com,0,117,247400,subscription and advertising,1,1,9,20,12,17,29,7,13,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Snow-forecast.com,0,118,299957,advertising,1,1,17,25,13,29,42,11,14,25,-2,0,2,-6,5,11,-8,5,13,1,2,0,0,0,13,5,0,0,0,0,2,0,1,5,16,0,0,0,18
Newsday.com,0,119,1898183,subscription and advertising,1,1,31,32,12,51,63,6,26,32,-1,0,1,3,9,6,2,9,7,1,1,0,0,0,0,0,15,0,0,0,1,1,1,9,15,1,1,2,16
Jsonline.com,0,124,1525825,subscription and advertising,1,1,33,42,34,41,75,16,26,42,-2,0,2,1,9,8,-1,9,10,1,2,0,0,0,10,9,0,0,0,0,2,1,1,9,17,0,0,0,19
Commondreams.org,0,125,1949294,subscription and donation,1,0,4,8,7,5,12,5,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alternet.org,0,126,814681,advertising,0,1,65,61,20,106,126,12,49,61,1,2,1,-7,8,15,-6,10,16,0,0,1,0,3,16,10,0,1,1,1,3,0,1,8,23,0,0,0,26
Sacbee.com,0,128,1767156,subscription and advertising,1,1,50,51,26,77,103,14,37,51,2,1,0,2,9,6,4,10,6,0,0,0,2,1,0,0,15,1,0,2,1,1,1,9,15,1,1,4,16
Foreca.com,0,129,62811,advertising,0,1,6,8,6,8,14,4,4,8,0,0,0,6,6,0,6,6,0,1,0,0,0,0,0,6,6,0,0,0,0,1,0,6,6,1,0,6,6
Beforeitsnews.com,0,131,380686,donation and advertising,1,1,64,40,68,40,108,21,19,40,-3,5,9,-10,0,9,-13,5,18,1,3,0,0,0,18,5,0,0,0,0,14,0,0,0,9,0,0,0,23
Baltimoresun.com,0,132,1787136,subscription and advertising,1,1,42,52,32,62,94,20,32,52,0,0,0,-14,4,18,-14,4,18,1,0,0,0,0,18,4,0,0,0,0,0,0,1,4,22,0,0,0,22
Heraldsun.com.au,0,133,96140,subscription and advertising,1,1,29,41,17,53,70,10,31,41,-2,0,3,-8,3,10,-10,3,13,1,2,0,0,0,13,3,0,0,0,0,3,0,1,3,13,0,0,0,16
Kansascity.com,0,134,1717196,subscription and advertising,1,1,34,55,21,68,89,14,41,55,0,0,0,1,8,7,1,8,7,1,0,0,0,0,0,0,15,0,0,0,0,1,1,8,15,1,1,1,15
Theepochtimes.com,0,136,1229722,"subscription, donation and advertising",1,1,20,36,10,46,56,7,29,36,0,0,0,-5,5,10,-5,5,10,1,0,0,0,0,10,5,0,0,0,0,0,0,1,5,15,0,0,0,15
Ocregister.com,0,137,1559626,subscription and advertising,1,1,45,49,24,70,94,15,34,49,0,1,1,-6,8,14,-6,9,15,0,0,0,0,2,15,9,0,1,1,0,2,0,1,8,22,0,0,0,24
Suntimes.com,0,138,2014084,subscription and advertising,1,1,49,44,23,70,93,13,31,44,1,1,0,-3,9,12,-2,10,12,0,0,0,1,1,12,10,0,1,0,1,1,0,1,9,21,0,0,0,22
Sandiegouniontribune.com,0,139,1543354,subscription and advertising,1,1,32,41,23,51,74,15,26,41,1,1,0,-5,7,12,-4,8,12,0,0,0,1,1,12,8,0,1,0,1,1,0,1,7,19,0,0,0,20
Fcc.gov,0,143,108958,information,0,0,2,5,4,3,7,2,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Detroitnews.com,0,145,761466,subscription and advertising,1,1,40,49,27,62,89,13,36,49,-1,0,1,-11,4,15,-12,4,16,1,1,0,0,0,16,4,0,0,0,0,1,0,1,4,19,0,0,0,20
Thestranger.com,0,147,1238524,advertising,1,1,8,14,16,6,22,10,4,14,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1
Onthesnow.com,0,149,1532084,advertising,1,1,40,37,14,63,77,8,29,37,-1,0,1,-17,4,21,-18,4,22,1,1,0,0,0,22,4,0,0,0,0,1,0,1,4,25,0,0,0,26
