Website,Category,Rank,Size,Business model,Login,Advertising,Safe,Unsafe,Primary,Secondary,Total,UnsafePrimary,UnsafeSecondary,UnsafeTotal,UnsafePrimaryNetChange,UnsafePrimaryAdd,UnsafePrimaryDrop,UnsafeSecondaryNetChange,UnsafeSecondaryAdd,UnsafeSecondaryDrop,UnsafeTotalNetChange,UnsafeTotalAdd,UnsafeTotalDrop,RespectDummy,Respect,AbuseObfuscate,AbuseDoNotObfuscate,ObfuscateLevel,TotalRespect,TotalDoNotObfuscate,TotalObfuscateLevel,AbuseDummy,ObfuscateDummy,Abuse,Obfuscate,SecondaryAbuseDummy,SecondaryObfuscateDummy,SecondaryAbuse,SecondaryObfuscate,TotalAbuseDummy,TotalObfuscateDummy,TotalAbuse,TotalObfuscate
Eastbaytimes.com,0,255,449743,subscription and advertising,1,1,48,62,21,89,110,14,48,62,0,1,1,-21,4,25,-21,5,26,0,0,0,0,2,26,5,0,1,1,0,2,0,1,4,29,0,0,0,31
Opendemocracy.net,0,256,187152,donation,1,0,6,11,8,9,17,6,5,11,0,0,0,-1,0,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Wickedlocal.com,0,258,512286,subscription and advertising,1,1,21,37,15,43,58,11,26,37,1,1,0,5,12,7,6,13,7,0,0,0,1,1,0,0,19,1,0,1,1,1,1,12,19,1,1,6,20
Knoxnews.com,0,259,466347,subscription and advertising,1,1,41,46,30,57,87,15,31,46,-1,1,2,-2,6,8,-3,7,10,1,1,0,0,0,10,7,0,0,0,0,3,0,1,6,14,0,0,0,17
Thenewstribune.com,0,260,621804,subscription and advertising,1,1,44,57,27,76,103,16,41,57,-1,3,3,6,12,7,5,15,10,1,1,0,0,0,0,0,19,0,0,0,6,1,1,12,19,1,1,5,25
Phoenixnewtimes.com,0,261,540332,advertising,1,1,41,46,21,66,87,14,32,46,-1,1,2,-8,9,17,-9,10,19,1,1,0,0,0,19,10,0,0,0,0,3,0,1,9,26,0,0,0,29
Lohud.com,0,262,530136,subscription and advertising,1,1,28,37,29,36,65,12,25,37,2,3,1,1,5,4,3,8,5,0,0,2,0,4,0,0,9,1,1,2,4,1,1,5,9,1,1,3,13
Fresnobee.com,0,264,324312,subscription and advertising,1,1,68,77,25,121,146,14,63,77,-2,1,2,-4,14,19,-6,15,21,1,2,0,0,0,21,15,0,0,0,0,3,0,1,14,33,0,0,0,36
Gazette.com,0,265,375566,subscription and advertising,1,1,67,58,19,106,125,14,44,58,1,1,0,-1,8,9,0,9,9,0,0,0,1,1,0,0,17,1,0,1,1,0,1,8,17,0,1,0,18
Dallasobserver.com,0,269,518662,advertising,1,1,48,45,20,73,93,13,32,45,-1,0,2,-11,6,16,-12,6,18,1,1,0,0,0,18,6,0,0,0,0,2,0,1,6,22,0,0,0,24
Frontpagemag.com,0,273,239709,donation and advertising,0,1,15,24,15,24,39,10,14,24,0,1,1,-5,4,9,-5,5,10,0,0,0,0,2,10,5,0,1,1,0,2,0,1,4,13,0,0,0,15
Tallahassee.com,0,275,433132,subscription and advertising,1,1,43,55,29,69,98,15,40,55,-1,3,4,-18,2,20,-19,5,24,1,1,0,0,0,24,5,0,0,0,0,7,0,1,2,22,0,0,0,29
Sandiegoreader.com,0,277,369162,advertising,1,1,5,13,12,6,18,8,5,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Journalnow.com,0,278,356354,subscription and advertising,1,1,45,53,19,79,98,12,41,53,1,1,0,20,26,6,21,27,6,0,0,0,1,1,0,0,32,1,0,1,1,1,1,26,32,1,1,21,33
Sunnyskyz.com,0,279,224326,advertising and donation,0,1,9,18,9,18,27,7,11,18,0,0,0,-2,1,3,-2,1,3,1,0,0,0,0,3,1,0,0,0,0,0,0,1,1,4,0,0,0,4
Providencejournal.com,0,280,392206,subscription and advertising,1,1,36,58,22,72,94,17,41,58,-2,1,3,-2,7,9,-4,8,12,1,2,0,0,0,12,8,0,0,0,0,4,0,1,7,16,0,0,0,20
Sanluisobispo.com,0,282,380686,subscription and advertising,1,1,39,55,23,71,94,14,41,55,1,2,1,6,11,5,7,13,6,0,0,1,0,3,0,0,16,1,1,1,3,1,1,11,16,1,1,7,19
Metrotimes.com,0,283,521212,subscription and advertising,1,1,22,28,13,37,50,9,19,28,0,0,0,-2,6,8,-2,6,8,1,0,0,0,0,8,6,0,0,0,0,0,0,1,6,14,0,0,0,14
Heraldnet.com,0,284,461240,subscription and advertising,1,1,73,65,22,116,138,14,51,65,-1,0,1,-35,4,39,-36,4,40,1,1,0,0,0,40,4,0,0,0,0,1,0,1,4,43,0,0,0,44
Citizensvoice.com,0,285,312775,subscription and advertising,1,1,70,63,27,106,133,18,45,63,0,0,0,-9,2,11,-9,2,11,1,0,0,0,0,11,2,0,0,0,0,0,0,1,2,13,0,0,0,13
Newsthump.com,0,286,312775,advertising,0,1,25,54,27,53,80,20,34,54,-1,1,1,3,11,9,2,12,10,1,1,0,0,0,0,0,20,0,0,0,2,1,1,11,20,1,1,2,22
Mediabistro.com,0,288,266628,subscription and advertising,1,1,7,16,12,11,23,9,7,16,-1,0,1,-2,0,2,-3,0,3,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,3
Cjr.org,0,289,402442,"subscription, donation and advertising",1,1,5,12,11,6,17,9,3,12,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1
Pe.com,0,293,597635,subscription and advertising,1,1,30,41,23,48,71,14,27,41,-1,0,1,-12,0,12,-13,0,13,1,1,0,0,0,13,0,0,0,0,0,1,0,0,0,12,0,0,0,13
Columbiaspectator.com,0,295,242273,advertising and donation,0,1,8,14,14,8,22,10,4,14,0,0,0,4,4,0,4,4,0,1,0,0,0,0,0,4,4,0,0,0,0,1,0,4,4,1,0,4,4
Timesfreepress.com,0,296,299957,subscription and advertising,1,1,24,26,17,33,50,10,16,26,-1,0,1,1,3,2,0,3,3,1,1,0,0,0,0,0,5,0,0,0,1,1,1,3,5,0,1,0,6
People-press.org,0,299,361478,donation,1,0,3,16,15,4,19,13,3,16,-1,0,1,0,0,0,-1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Lasvegassun.com,0,300,467624,subscription and advertising,1,1,24,44,24,44,68,17,27,44,-1,1,2,-14,5,19,-15,6,21,1,1,0,0,0,21,6,0,0,0,0,3,0,1,5,24,0,0,0,27
Unionleader.com,0,305,219199,subscription and advertising,1,1,55,52,19,88,107,15,37,52,-1,0,1,2,9,7,1,9,8,1,1,0,0,0,0,0,16,0,0,0,1,1,1,9,16,1,1,1,17
News-gazette.com,0,307,271756,subscription and advertising,1,1,24,26,6,44,50,4,22,26,1,1,0,-1,7,8,0,8,8,0,0,0,1,1,0,0,15,1,0,1,1,0,1,7,15,0,1,0,16
Tveyes.com,0,308,98703,subscription,1,0,9,23,8,24,32,5,18,23,0,0,0,-5,0,5,-5,0,5,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5
Ctpost.com,0,310,302520,subscription and advertising,1,1,47,51,15,83,98,11,40,51,1,1,0,1,8,7,2,9,7,0,0,0,1,1,0,0,15,1,0,1,1,1,1,8,15,1,1,2,16
Dailycamera.com,0,320,330722,advertising,0,1,56,61,25,92,117,17,44,61,0,0,0,-3,7,10,-3,7,10,1,0,0,0,0,10,7,0,0,0,0,0,0,1,7,17,0,0,0,17
Southbendtribune.com,0,321,205098,subscription and advertising,1,1,33,37,13,57,70,10,27,37,-1,0,1,-5,2,7,-6,2,8,1,1,0,0,0,8,2,0,0,0,0,1,0,1,2,9,0,0,0,10
Pantagraph.com,0,323,205098,subscription and advertising,1,1,52,55,31,76,107,20,35,55,0,0,0,-7,8,15,-7,8,15,1,0,0,0,0,15,8,0,0,0,0,0,0,1,8,23,0,0,0,23
Floridatoday.com,0,325,303802,subscription and advertising,1,1,38,40,29,49,78,14,26,40,4,4,0,10,15,5,14,19,5,0,0,0,4,4,0,0,20,1,0,4,4,1,1,15,20,1,1,14,24
Weatherforyou.com,0,326,237145,advertising,0,1,28,26,8,46,54,5,21,26,0,0,0,3,6,3,3,6,3,1,0,0,0,0,0,0,9,0,0,0,0,1,1,6,9,1,1,3,9
Desertsun.com,0,328,401162,subscription and advertising,1,1,26,36,25,37,62,12,24,36,0,0,0,3,5,2,3,5,2,1,0,0,0,0,0,0,7,0,0,0,0,1,1,5,7,1,1,3,7
Spiked-online.com,0,330,91012,donation and advertising,0,1,23,22,9,36,45,5,17,22,1,1,0,5,8,3,6,9,3,0,0,0,1,1,0,0,11,1,0,1,1,1,1,8,11,1,1,6,12
Calgarysun.com,0,331,51274,subscription and advertising,1,1,54,58,35,77,112,22,36,58,1,1,0,1,8,7,2,9,7,0,0,0,1,1,0,0,15,1,0,1,1,1,1,8,15,1,1,2,16
Qctimes.com,0,335,225608,subscription and advertising,1,1,47,58,30,75,105,19,39,58,1,1,0,-6,7,13,-5,8,13,0,0,0,1,1,13,8,0,1,0,1,1,0,1,7,20,0,0,0,21
Dailybreeze.com,0,336,230736,subscription and advertising,1,1,49,61,22,88,110,14,47,61,-1,1,2,-23,4,27,-24,5,29,1,1,0,0,0,29,5,0,0,0,0,3,0,1,4,31,0,0,0,34
Pnj.com,0,337,175616,subscription and advertising,1,1,33,41,25,49,74,12,29,41,2,3,1,0,8,8,2,11,9,0,0,2,0,4,0,0,16,1,1,2,4,0,1,8,16,1,1,2,20
Bellinghamherald.com,0,339,256373,subscription and advertising,1,1,42,55,25,72,97,13,42,55,0,0,0,-7,4,10,-7,4,10,1,0,0,0,0,10,4,0,0,0,0,0,0,1,4,14,0,0,0,14
Washingtonmonthly.com,0,340,251246,"subscription, donation and advertising",1,1,21,31,19,33,52,13,18,31,-1,0,1,-1,6,7,-2,6,8,1,1,0,0,0,8,6,0,0,0,0,1,0,1,6,13,0,0,0,14
Consortiumnews.com,0,341,103831,donation,0,0,2,4,4,2,6,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Commercialappeal.com,0,345,242273,subscription and advertising,1,1,44,51,32,73,105,16,35,51,-4,0,4,-4,5,9,-8,5,13,1,4,0,0,0,13,5,0,0,0,0,4,0,1,5,14,0,0,0,18
Eagletribune.com,0,348,147414,subscription and advertising,1,1,28,42,24,47,71,13,29,42,1,1,0,-1,6,7,0,7,7,0,0,0,1,1,0,0,13,1,0,1,1,0,1,6,13,0,1,0,14
Bakersfield.com,0,349,149978,subscription and advertising,1,1,13,19,14,18,32,10,9,19,2,2,0,2,4,2,4,6,2,0,0,0,2,2,0,0,6,1,0,2,2,1,1,4,6,1,1,4,8
Sourcewatch.org,0,353,166642,donation,1,0,7,12,5,14,19,3,9,12,0,0,0,-5,1,6,-5,1,6,1,0,0,0,0,6,1,0,0,0,0,0,0,1,1,7,0,0,0,7
Dailyprogress.com,0,357,225608,subscription and advertising,1,1,30,44,20,55,75,16,28,44,0,0,0,8,10,2,8,10,2,1,0,0,0,0,0,0,12,0,0,0,0,1,1,10,12,1,1,8,12
Ibj.com,0,361,188434,subscription and advertising,1,1,2,11,9,4,13,7,4,11,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1
Crainsnewyork.com,0,363,305084,subscription and advertising,1,1,6,20,15,11,26,12,8,20,1,1,0,-3,0,3,-2,1,3,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,3,0,0,0,4
Filmsforaction.org,0,366,76912,donation,1,0,1,3,2,2,4,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wcfcourier.com,0,367,171770,subscription and advertising,1,1,33,48,33,48,81,21,27,48,-1,1,2,0,10,10,-1,11,12,1,1,0,0,0,12,11,0,0,0,0,3,0,1,10,20,0,0,0,23
Dailypress.com,0,369,233299,subscription and advertising,1,1,36,44,32,48,80,19,25,44,2,1,1,6,18,10,8,19,11,0,0,2,0,2,0,0,28,1,1,2,2,1,1,18,28,1,1,8,30
News-press.com,0,370,266628,subscription and advertising,1,1,32,41,30,66,96,13,28,41,0,0,0,9,16,7,9,16,7,1,0,0,0,0,0,0,23,0,0,0,0,1,1,16,23,1,1,9,23
Greenvilleonline.com,0,371,232018,subscription and advertising,1,1,38,47,30,55,85,15,32,47,1,1,0,-5,5,10,-4,6,10,0,0,0,1,1,10,6,0,1,0,1,1,0,1,5,15,0,0,0,16
Theledger.com,0,372,226890,subscription and advertising,1,1,31,46,18,59,77,14,32,46,-1,0,1,-8,4,12,-9,4,13,1,1,0,0,0,13,4,0,0,0,0,1,0,1,4,16,0,0,0,17
Ydr.com,0,375,151260,subscription and advertising,1,1,27,36,27,36,63,13,23,36,2,2,0,3,9,6,5,11,6,0,0,0,2,2,0,0,15,1,0,2,2,1,1,9,15,1,1,5,17
Newstimes.com,0,378,155105,subscription and advertising,1,1,45,48,13,80,93,9,39,48,2,2,0,-6,6,12,-4,8,12,0,0,0,2,2,12,8,0,1,0,2,2,0,1,6,18,0,0,0,20
Wvgazettemail.com,0,381,242273,subscription and advertising,1,1,31,42,24,49,73,16,26,42,-2,0,2,-14,3,17,-16,3,19,1,2,0,0,0,19,3,0,0,0,0,2,0,1,3,20,0,0,0,22
Broadcastingcable.com,0,384,240991,subscription and advertising,1,1,45,43,16,72,88,12,31,43,-1,0,1,-2,5,7,-3,5,8,1,1,0,0,0,8,5,0,0,0,0,1,0,1,5,12,0,0,0,13
Pjstar.com,0,387,164079,subscription and advertising,1,1,27,53,18,62,80,14,39,53,2,2,0,2,11,9,4,13,9,0,0,0,2,2,0,0,20,1,0,2,2,1,1,11,20,1,1,4,22
Multichannel.com,0,395,266628,subscription and advertising,1,1,38,38,16,60,76,12,26,38,-1,0,1,-7,2,9,-8,2,10,1,1,0,0,0,10,2,0,0,0,0,1,0,1,2,11,0,0,0,12
Heraldmailmedia.com,0,396,233299,advertising,1,1,56,51,16,91,107,11,40,51,1,1,0,2,5,3,3,6,3,0,0,0,1,1,0,0,8,1,0,1,1,1,1,5,8,1,1,3,9
Washingtoncitypaper.com,0,398,252527,subscription and advertising,1,1,4,9,7,6,13,4,5,9,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,2,0,1,0,2,2,0,0,0,0,1,0,2,2
Napavalleyregister.com,0,400,153824,subscription and advertising,1,1,14,29,22,21,43,15,14,29,4,4,0,19,26,7,23,30,7,0,0,0,4,4,0,0,33,1,0,4,4,1,1,26,33,1,1,23,37
Postbulletin.com,0,401,158951,subscription and advertising,1,1,40,42,20,62,82,13,29,42,-2,0,2,-16,5,21,-18,5,23,1,2,0,0,0,23,5,0,0,0,0,2,0,1,5,26,0,0,0,28
Arktimes.com,0,404,188434,subscription and advertising,1,1,4,11,10,5,15,8,3,11,1,1,0,1,1,0,2,2,0,0,0,0,1,1,0,2,1,1,0,1,1,1,0,1,1,1,0,2,2
Journaltimes.com,0,406,162797,subscription and advertising,1,1,36,39,31,44,75,18,21,39,1,1,0,2,9,7,3,10,7,0,0,0,1,1,0,0,16,1,0,1,1,1,1,9,16,1,1,3,17
Theday.com,0,409,129468,subscription and advertising,1,1,57,65,24,99,123,15,50,65,1,1,0,-17,3,20,-16,4,20,0,0,0,1,1,20,4,0,1,0,1,1,0,1,3,23,0,0,0,24
Registerguard.com,0,410,151260,subscription and advertising,1,1,23,49,16,56,72,12,37,49,1,1,0,-10,4,14,-9,5,14,0,0,0,1,1,14,5,0,1,0,1,1,0,1,4,18,0,0,0,19
Naplesnews.com,0,412,202535,subscription and advertising,1,1,35,48,31,52,83,16,32,48,-3,0,3,-5,6,11,-8,6,14,1,3,0,0,0,14,6,0,0,0,0,3,0,1,6,17,0,0,0,20
Delcotimes.com,0,415,110240,subscription and advertising,1,1,35,41,20,56,76,14,27,41,-1,0,1,8,15,7,7,15,8,1,1,0,0,0,0,0,22,0,0,0,1,1,1,15,22,1,1,7,23
Qt.com.au,0,416,110240,subscription and advertising,1,1,17,27,28,16,44,19,8,27,-1,0,1,10,11,1,9,11,2,1,1,0,0,0,0,0,12,0,0,0,1,1,1,11,12,1,1,9,13
Newsminer.com,0,417,91012,subscription and advertising,1,1,16,14,16,14,30,11,3,14,1,1,0,6,6,0,7,7,0,0,0,0,1,1,0,7,6,1,0,1,1,1,0,6,6,1,0,7,7
Watertowndailytimes.com,0,418,80757,subscription and advertising,1,1,20,20,23,17,40,11,9,20,-1,0,1,-1,1,2,-2,1,3,1,1,0,0,0,3,1,0,0,0,0,1,0,1,1,3,0,0,0,4
Webmd.com,1,2,15246496,subscription and advertising,1,1,19,34,21,32,53,16,18,34,-1,0,1,-5,1,7,-6,1,8,1,1,0,0,0,8,1,0,0,0,0,1,0,1,1,8,0,0,0,9
Mayoclinic.org,1,3,10916190,information,1,0,2,11,5,8,13,3,8,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Psychologytoday.com,1,4,8942276,advertising,1,1,18,18,7,29,36,6,12,18,0,0,0,-1,4,5,-1,4,5,1,0,0,0,0,5,4,0,0,0,0,0,0,1,4,9,0,0,0,9
Myfitnesspal.com,1,5,7908197,subscription,1,0,3,7,5,5,10,3,4,7,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1
Cdc.gov,1,7,7259273,information,0,0,0,2,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kaiserpermanente.org,1,8,5867748,information,1,0,1,7,6,2,8,6,1,7,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1
Medscape.com,1,9,4989246,information,1,0,7,29,16,20,36,12,17,29,0,0,0,-7,0,7,-7,0,7,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Drugs.com,1,13,5916173,advertising,1,1,49,43,13,79,92,12,31,43,1,2,1,13,18,5,14,20,6,0,0,1,0,3,0,0,23,1,1,1,3,1,1,18,23,1,1,14,26
Bmj.com,1,14,1927243,subscription and advertising,1,1,10,15,14,19,33,11,4,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Apa.org,1,16,2310364,subscription and donation,1,0,3,8,6,5,11,4,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Menshealth.com,1,17,5136818,advertising,0,1,54,51,11,94,105,7,44,51,0,0,0,-1,9,10,-1,9,10,1,0,0,0,0,10,9,0,0,0,0,0,0,1,9,19,0,0,0,19
Kidshealth.org,1,20,1455020,information,0,0,1,5,4,2,6,3,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Self.com,1,22,4040526,information,0,0,55,70,24,101,125,19,51,70,-3,0,3,-23,4,27,-26,4,30,1,3,0,0,0,30,4,0,0,0,0,3,0,1,4,31,0,0,0,34
Sdsu.edu,1,23,902221,information,0,0,3,11,8,6,14,7,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clevelandclinic.org,1,24,2620386,information,0,0,3,8,3,8,11,1,7,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Health.com,1,26,3833667,subscription and advertising,1,1,38,57,17,78,95,11,46,57,-1,0,1,-10,2,12,-11,2,13,1,1,0,0,0,13,2,0,0,0,0,1,0,1,2,14,0,0,0,15
Rxlist.com,1,27,3764061,advertising,0,1,16,23,12,27,39,8,15,23,1,1,0,-7,1,8,-6,2,8,0,0,0,1,1,8,2,0,1,0,1,1,0,1,1,9,0,0,0,10
Weightwatchers.com,1,28,2738969,information,1,0,16,43,15,44,59,14,29,43,-2,0,2,1,3,2,-1,3,4,1,2,0,0,0,4,3,0,0,0,0,2,1,1,3,5,0,0,0,7
Nejm.org,1,31,1513714,subscription and advertising,1,1,6,14,10,10,20,6,8,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cancer.org,1,32,2248603,donation,0,0,23,35,18,40,58,13,22,35,1,1,0,3,4,1,4,5,1,0,0,0,1,1,0,0,5,1,0,1,1,1,1,4,5,1,1,4,6
Cancer.gov,1,35,1292593,information,0,0,2,8,6,4,10,4,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hopkinsmedicine.org,1,37,1898604,information,0,0,13,23,12,24,36,9,14,23,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,1,0,2
Heart.org,1,38,2823095,donation,0,0,3,12,9,6,15,6,6,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clinicaltrials.gov,1,39,1112423,information,0,0,1,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sharecare.com,1,44,1467303,information,1,0,12,20,13,19,32,8,12,20,0,0,0,-6,0,6,-6,0,6,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6
Petmd.com,1,46,3002760,advertising,0,1,18,40,19,39,58,14,26,40,-1,0,1,-1,4,5,-2,4,6,1,1,0,0,0,6,4,0,0,0,0,1,0,1,4,9,0,0,0,10
Thelancet.com,1,47,569177,subscription and advertising,1,1,14,22,17,19,36,11,11,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Goodrx.com,1,48,2322415,subscription,1,0,8,20,11,17,28,7,13,20,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1
Sutterhealth.org,1,50,1323988,information,1,0,7,19,13,13,26,11,8,19,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,1,0,2
Sbmu.ac.ir,1,54,51622,information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Partners.org,1,59,859910,information,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24hourfitness.com,1,61,1657032,information,1,0,9,18,10,17,27,7,11,18,0,0,0,-2,0,2,-2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Cochrane.org,1,62,249963,information,1,0,1,3,3,1,4,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Netdoctor.co.uk,1,63,502837,advertising,0,1,5,6,5,6,11,2,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nuance.com,1,65,427224,information,1,0,23,45,11,57,68,7,38,45,0,0,0,2,2,0,2,2,0,1,0,0,0,0,0,2,2,0,0,0,0,1,0,2,2,1,0,2,2
Makeupalley.com,1,67,667453,advertising,1,1,21,16,8,29,37,5,11,16,0,1,1,3,4,1,3,5,2,0,0,0,0,2,0,0,5,1,1,0,2,1,1,4,5,1,1,3,7
Aaos.org,1,68,1005956,information,1,0,5,14,13,6,19,10,4,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ama-assn.org,1,69,885741,subscription,1,0,7,19,13,13,26,11,8,19,1,1,0,-1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,2
Spine-health.com,1,71,1607892,advertising,0,1,11,8,12,7,19,4,4,8,1,1,0,2,2,0,3,3,0,0,0,0,1,1,0,3,2,1,0,1,1,1,0,2,2,1,0,3,3
Tonyrobbins.com,1,73,525500,subscription,1,0,18,42,27,33,60,19,23,42,-1,0,1,0,0,0,-1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mckesson.com,1,74,413575,information,1,0,3,18,8,13,21,7,11,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mui.ac.ir,1,75,36679,information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Plymouth.ac.uk,1,76,256171,information,1,0,1,10,9,2,11,8,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mskcc.org,1,77,581437,donation,0,0,7,16,9,14,23,7,9,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Uclahealth.org,1,78,721363,information,0,0,10,21,17,14,31,13,8,21,-1,0,1,-1,2,3,-2,2,4,1,1,0,0,0,4,2,0,0,0,0,1,0,1,2,5,0,0,0,6
Patient.info,1,80,2669554,advertising,1,1,1,7,6,2,8,5,2,7,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,2,0,1,0,2,2,0,0,0,0,1,0,2,2
Rsna.org,1,81,274416,donation,1,0,3,4,5,2,7,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Upmc.com,1,82,831245,information,0,0,4,14,10,8,18,8,6,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hse.gov.uk,1,83,594166,information,0,0,3,11,10,4,14,8,3,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mentalhelp.net,1,84,345058,information,0,0,4,10,4,10,14,3,7,10,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1
Rush.edu,1,85,573285,information,1,0,9,11,13,7,20,7,4,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bcm.edu,1,86,425209,information,0,0,6,7,8,5,13,4,3,7,0,0,0,-3,0,3,-3,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Drweil.com,1,87,757539,subscription and advertising,1,1,22,26,16,32,48,13,13,26,0,0,0,4,7,3,4,7,3,1,0,0,0,0,0,0,10,0,0,0,0,1,1,7,10,1,1,4,10
Examine.com,1,88,698846,subscription,1,0,9,11,11,9,20,8,3,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jneurosci.org,1,90,292076,subscription and advertising,1,1,5,8,9,4,13,6,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Greatclips.com,1,92,1389504,information,1,0,4,13,7,10,17,6,7,13,-1,0,1,0,0,0,-1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
